Jogo,Gols_Casa_Real,Gols_Fora_Real
Turquia x Paraguai,0,1
Brasil x Haiti,3,0
Escócia x Marrocos,0,1
Estados Unidos x Austrália,2,0
México x Coreia do Sul,1,0
Canadá x Catar,6,0
Suíça x Bósnia e Herzegovina,4,1
República Tcheca x África do Sul,1,1
Uzbequistão x Colômbia,1,3
Gana x Panamá,1,0
Inglaterra x Croácia,4,2
Portugal x Congo RD,1,1
Áustria x Jordânia,3,1
Argentina x Argélia,3,0
Iraque x Noruega,1,4
França x Senegal,3,1
Irã x Nova Zelândia,2,2
Arábia Saudita x Uruguai,1,1
Bélgica x Egito,1,1
Espanha x Cabo Verde,0,0
Suécia x Tunísia,5,1
Holanda x Japão,2,2
Costa do Marfim x Equador,1,0
Alemanha x Curaçao,7,1
Austrália x Turquia,2,0
Haiti x Escócia,0,1
Brasil x Marrocos,1,1
Catar x Suíça,1,1
Estados Unidos x Paraguai,4,1
Canadá x Bósnia e Herzegovina,1,1
Coreia do Sul x República Tcheca,2,1
México x África do Sul,2,0
Holanda x Suécia,5,1
Alemanha x Costa do Marfim,2,1
Equador x Curaçao,0,0
Tunísia x Japão,0,4
Espanha x Arábia Saudita,4,0
Bélgica x Irã,0,0
Uruguai x Cabo Verde,2,2
Nova Zelândia x Egito,1,3
Argentina x Áustria,2,0
França x Iraque,3,0
Noruega x Senegal,3,2
Jordânia x Argélia,1,2
Uzbequistão x Portugal,0,5
Congo RD x Colômbia,0,1
Inglaterra x Gana,0,0
Panamá x Croácia,0,1
Suíça x Canadá,2,1
Bósnia e Herzegovina x Catar,3,1